id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitshares,BitShares,BTS,36,0.137411,0.00002043,7756640.0,359261060.0,2614500000.0,2614500000.0,3600570502.0,-0.44,-6.01,-12.0,1523347743
stratis,Stratis,STRAT,37,3.54899,0.0005277,4268620.0,350678925.0,98810908.0,98810908.0,,-0.06,-8.02,-8.93,1523347747
rchain,RChain,RHOC,38,0.961129,0.00014291,1379190.0,345629521.0,359607837.0,870663574.0,1000000000.0,0.31,-5.58,-0.6,1523347755
waves,Waves,WAVES,39,3.45244,0.00051334,14602900.0,345244000.0,100000000.0,100000000.0,,0.07,-7.2,-12.7,1523347747
decred,Decred,DCR,40,47.7947,0.00710661,13200600.0,339309701.0,7099316.0,7519316.0,21000000.0,-0.13,-7.86,9.41,1523347746
maker,Maker,MKR,41,528.617,0.0786001,176945.0,326805709.0,618228.0,1000000.0,,-0.75,-3.15,1.02,1523347748
dogecoin,Dogecoin,DOGE,42,0.00278425,0.00000041,5263040.0,317298605.0,113961966538,113961966538,,0.07,-4.09,-3.33,1523347741
aeternity,Aeternity,AE,43,1.30493,0.00019403,7127460.0,304075405.0,233020472.0,273685830.0,,-0.15,-8.87,-13.66,1523347752
status,Status,SNT,44,0.0869085,0.00001292,22583300.0,301614540.0,3470483788.0,6804870174.0,,0.12,-6.24,-15.79,1523347751
0x,0x,ZRX,45,0.537901,0.00007998,5362750.0,281115898.0,522616426.0,1000000000.0,,-0.07,-9.44,-4.02,1523347753
zilliqa,Zilliqa,ZIL,46,0.038367,0.00000570,11578300.0,274076667.0,7143552186.0,12600000000.0,,-0.14,-9.22,-16.25,1523347760
augur,Augur,REP,47,24.1708,0.00359396,3448200.0,265878800.0,11000000.0,11000000.0,,0.02,-6.02,-10.72,1523347746
komodo,Komodo,KMD,48,2.50674,0.00037273,1415300.0,260798207.0,104038794.0,104038794.0,,0.72,-7.7,-10.87,1523347749
iostoken,IOStoken,IOST,49,0.0286603,0.00000426,57725600.0,240746520.0,8400000000.0,21000000000.0,,0.71,-8.15,16.73,1523347759
ardor,Ardor,ARDR,50,0.239221,0.00003557,1962420.0,238981658.0,998999495.0,998999495.0,998999495.0,-0.14,-7.36,-8.21,1523347746
aion,Aion,AION,51,2.0036,0.00029792,8546510.0,231054893.0,115319871.0,465934587.0,,-0.24,-7.75,-5.09,1523347754
loopring,Loopring,LRC,52,0.39941,0.00005939,8209860.0,228492094.0,572074043.0,1374956262.0,,-0.15,-7.99,2.54,1523347753
hshare,Hshare,HSR,53,5.21375,0.00077523,14909400.0,223380557.0,42844509.0,42844509.0,84000000.0,0.49,-4.9,-10.42,1523347752
kucoin-shares,KuCoin Shares,KCS,54,2.37285,0.00035282,408714.0,216031563.0,91043076.0,181043076.0,,-0.05,-5.54,0.01,1523347755
cryptonex,Cryptonex,CNX,55,4.71866,0.00070162,1174460.0,213312384.0,45206136.0,106643761.0,210000000.0,0.65,-5.03,-6.74,1523347754
pivx,PIVX,PIVX,56,3.80041,0.00056508,6319730.0,212618951.0,55946319.0,55946319.0,,-0.13,-5.51,-5.98,1523347745
ark,Ark,ARK,57,2.06439,0.00030695,1272400.0,210159221.0,101802092.0,133052092.0,,0.68,-6.47,-9.28,1523347750
waltonchain,Waltonchain,WTC,58,8.23234,0.00122407,2650060.0,204970267.0,24898178.0,70000000.0,100000000.0,-0.4,-9.07,-19.8,1523347753
centrality,Centrality,CENNZ,59,0.291546,0.00004335,112918.0,191312557.0,656200247.0,1200000000.0,,3.39,0.09,-5.45,1523347761
golem-network-tokens,Golem,GNT,60,0.228927,0.00003404,32320500.0,190985097.0,834262000.0,1000000000.0,,1.18,9.14,7.97,1523347748
veritaseum,Veritaseum,VERI,61,92.8542,0.0138065,329980.0,189111083.0,2036645.0,100000000.0,,1.61,-8.29,-24.99,1523347751
monacoin,MonaCoin,MONA,62,3.20286,0.00047623,1033140.0,187912517.0,58670225.0,58670225.0,,0.04,-4.12,-8.62,1523347742
digibyte,DigiByte,DGB,63,0.0183582,0.00000273,2091220.0,185314298.0,10094360976.0,10094360976.0,21000000000.0,-0.39,-8.65,-2.29,1523347741
basic-attention-token,Basic Attention Token,BAT,64,0.184609,0.00002745,4075590.0,184609000.0,1000000000.0,1500000000.0,,0.48,-7.26,-12.4,1523347750
qash,QASH,QASH,65,0.5172,0.00007690,3836850.0,181020000.0,350000000.0,1000000000.0,,-1.12,-8.68,-15.36,1523347756
factom,Factom,FCT,66,19.5936,0.00291338,483119.0,171348031.0,8745102.0,8745102.0,,0.29,-8.93,-7.65,1523347745
dragonchain,Dragonchain,DRGN,67,0.694098,0.00010321,1870880.0,165488192.0,238421940.0,433494437.0,,-0.69,-9.51,11.5,1523347757
aelf,aelf,ELF,68,0.641936,0.00009545,30382100.0,160484000.0,250000000.0,280000000.0,1000000000.0,5.06,-0.15,17.52,1523347757
elastos,Elastos,ELA,69,31.7359,0.00471881,13497900.0,157567950.0,4964975.0,33379033.0,,0.42,-6.7,13.88,1523347760
nebulas-token,Nebulas,NAS,70,4.39257,0.00065313,6088330.0,155936235.0,35500000.0,100000000.0,100000000.0,-0.16,-3.8,-12.48,1523347752
gas,Gas,GAS,71,15.0669,0.0022403,4734220.0,151522960.0,10056678.0,16895902.0,100000000.0,0.54,-8.71,-8.21,1523347752
ethos,Ethos,ETHOS,72,1.94164,0.0002887,3038290.0,148248060.0,76351981.0,222295208.0,,-0.1,-5.61,-9.16,1523347752
gxchain,GXChain,GXS,73,2.4162,0.00035926,9227740.0,144972000.0,60000000.0,100000000.0,100000000.0,0.13,-5.33,-11.21,1523347751
syscoin,Syscoin,SYS,74,0.269979,0.00004014,1519420.0,143681000.0,532193243.0,532193243.0,888000000.0,0.29,-7.38,-6.92,1523347743
revain,Revain,R,75,0.775672,0.00011534,3349480.0,143072700.0,184450000.0,484450000.0,484450000.0,0.38,-4.85,-9.97,1523347755
substratum,Substratum,SUB,76,0.369883,0.00005500,5404400.0,141672957.0,383021000.0,472000000.0,,-0.77,-8.66,2.19,1523347753
electroneum,Electroneum,ETN,77,0.0211581,0.00000315,666918.0,141092736.0,6668497460.0,6668497460.0,21000000000.0,0.26,-7.25,5.98,1523347755
funfair,FunFair,FUN,78,0.028761,0.00000428,726878.0,135851812.0,4723473189.0,10999873621.0,,0.22,-6.87,-9.16,1523347750
kyber-network,Kyber Network,KNC,79,0.966821,0.00014376,5392980.0,129682308.0,134132697.0,215625349.0,,-0.8,-8.77,-5.11,1523347755
zcoin,ZCoin,XZC,80,27.7225,0.00412207,862714.0,124674535.0,4497233.0,4497233.0,21400000.0,0.25,-6.08,-8.76,1523347747
skycoin,Skycoin,SKY,81,15.7718,0.00234512,1108390.0,122818492.0,7787221.0,25000000.0,100000000.0,0.61,10.49,16.99,1523347749
mixin,Mixin,XIN,82,301.951,0.0448972,2274220.0,122639303.0,406156.0,1000000.0,,-11.1,-3.75,4.79,1523347758
byteball,Byteball Bytes,GBYTE,83,188.252,0.0279912,206106.0,121464342.0,645222.0,1000000.0,,0.45,-4.51,4.45,1523347749
maidsafecoin,MaidSafeCoin,MAID,84,0.266408,0.00003961,820466.0,120563583.0,452552412.0,452552412.0,,4.24,-4.23,0.26,1523347742
salt,SALT,SALT,85,2.09593,0.00031164,8870170.0,118101300.0,56347922.0,120000000.0,,-2.48,-1.13,-2.94,1523347753
nxt,Nxt,NXT,86,0.117385,0.00001745,1824140.0,117267608.0,998999942.0,998999942.0,1000000000.0,0.16,-5.41,-5.09,1523347741
reddcoin,ReddCoin,RDD,87,0.0040373,0.00000060,3568790.0,116309418.0,28808713174.0,28808713174.0,,1.4,-4.49,-6.34,1523347741
storm,Storm,STORM,88,0.0280256,0.00000417,20515600.0,114592560.0,4088853037.0,10000000000.0,,0.15,-5.18,-12.92,1523347757
chainlink,ChainLink,LINK,89,0.316215,0.00004702,8401600.0,110675250.0,350000000.0,1000000000.0,,-0.35,-5.17,9.8,1523347753
nucleus-vision,Nucleus Vision,NCASH,90,0.0275145,0.00000409,10072500.0,110404552.0,4012595236.0,10000000000.0,,0.42,-6.37,-0.28,1523347761
power-ledger,Power Ledger,POWR,91,0.297011,0.00004416,6549910.0,108092088.0,363932947.0,1000000000.0,,0.66,-9.33,-12.65,1523347755
dent,Dent,DENT,92,0.010067,0.00000150,1091050.0,106858799.0,10614760961.0,100000000000,,0.24,-8.56,-7.54,1523347752
bancor,Bancor,BNT,93,2.32482,0.00034568,5280820.0,104570558.0,44980066.0,74654627.0,,0.48,-4.45,2.22,1523347752
particl,Particl,PART,94,11.5821,0.00172214,2777820.0,103406863.0,8928162.0,8928162.0,,-0.51,-11.19,12.44,1523347751
wax,WAX,WAX,95,0.166736,0.00002479,3752570.0,103211399.0,619010888.0,1850000000.0,,-0.12,-4.11,6.63,1523347757
enigma-project,Enigma,ENG,96,1.35783,0.0002019,5121550.0,101614798.0,74836171.0,150000000.0,,0.7,-8.57,-12.3,1523347754
request-network,Request Network,REQ,97,0.152792,0.00002272,3297460.0,101295198.0,662961399.0,999999895.0,,-0.75,-8.81,-4.35,1523347755
dentacoin,Dentacoin,DCN,98,0.000305344,0.00000005,54492.7,99305995.0,325226613094,1963173416169,8000000000000,1.92,-3.95,4.17,1523347752
storj,Storj,STORJ,99,0.740496,0.00011011,10887500.0,98801044.0,133425493.0,424999998.0,,0.73,-2.98,-10.12,1523347751
neblio,Neblio,NEBL,100,7.35697,0.00109391,8395150.0,95550305.0,12987725.0,13744492.0,,-0.4,-9.62,-10.01,1523347753
polymath-network,Polymath,POLY,101,0.395611,0.00005882,30804600.0,94946541.0,239999750.0,1000000000.0,,0.52,18.87,11.61,1523347760
high-performance-blockchain,High Performance Blockchain,HPB,102,3.18768,0.00047398,4291960.0,94682486.0,29702632.0,100000000.0,,-0.12,-7.49,79.53,1523347758
tenx,TenX,PAY,103,0.879514,0.00013077,4111930.0,92051087.0,104661310.0,205218256.0,,-0.43,-6.98,-7.76,1523347751
fusion,Fusion,FSN,104,3.27474,0.00048692,1165610.0,90540666.0,27648200.0,57344000.0,,-1.01,8.0,56.4,1523347760
emercoin,Emercoin,EMC,105,2.13425,0.00031734,496892.0,88721018.0,41570115.0,41570115.0,,-0.0,-6.69,-11.54,1523347743
cindicator,Cindicator,CND,106,0.0610631,0.00000908,805778.0,88295813.0,1445976590.0,2000000005.0,,-0.17,-7.97,-5.49,1523347755
genaro-network,Genaro Network,GNX,107,0.366953,0.00005456,4283350.0,87609393.0,238748268.0,675000000.0,,-0.49,-7.4,-8.97,1523347757
boscoin,BOScoin,BOS,108,0.201289,0.00002993,491999.0,87383782.0,434121000.0,500000000.0,,1.2,2.1,75.68,1523347755
iconomi,Iconomi,ICN,109,0.871103,0.00012952,2331860.0,86880056.0,99735687.0,99735687.0,,0.88,-3.53,12.02,1523347747
zencash,ZenCash,ZEN,110,24.0957,0.00358279,1014500.0,86778254.0,3601400.0,3601400.0,21000000.0,-0.37,-8.66,18.02,1523347750
nexus,Nexus,NXS,111,1.46304,0.00021754,2809180.0,82858080.0,56634186.0,56634186.0,,-0.28,-8.66,-5.17,1523347743
kin,Kin,KIN,112,0.000107979,0.00000002,814959.0,81642659.0,756097560976,10000000000000,,2.7,-12.76,-36.56,1523347754
